RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6239253,124,56,001,101,1966,00070,0   ,0   ,1   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,03430,0   ,0   ,1   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,03900,0   ,0   ,1   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,03940,0   ,0   ,1   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,04020,0   ,2   ,0   ,0   ,0   ,2 ,2   
6239253,124,56,001,101,1966,04590,0   ,1   ,0   ,1   ,0   ,2 ,2   
6239253,124,56,001,101,1966,04610,0   ,1   ,0   ,1   ,1   ,3 ,3   
6239253,124,56,001,101,1966,04630,0   ,1   ,0   ,2   ,0   ,3 ,3   
6239253,124,56,001,101,1966,04670,1   ,3   ,3   ,4   ,4   ,12,15  
6239253,124,56,001,101,1966,04840,0   ,0   ,0   ,4   ,1   ,4 ,5   
6239253,124,56,001,101,1966,04860,0   ,0   ,2   ,0   ,0   ,1 ,2   
6239253,124,56,001,101,1966,04880,0   ,0   ,1   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,04930,0   ,0   ,0   ,0   ,2   ,1 ,2   
6239253,124,56,001,101,1966,05110,0   ,0   ,0   ,2   ,0   ,2 ,2   
6239253,124,56,001,101,1966,05150,0   ,0   ,0   ,0   ,1   ,1 ,1   
6239253,124,56,001,101,1966,05170,0   ,1   ,2   ,3   ,1   ,7 ,7   
6239253,124,56,001,101,1966,05580,17  ,21  ,14  ,8   ,7   ,37,67  
6239253,124,56,001,101,1966,05600,0   ,0   ,0   ,1   ,0   ,1 ,1   
6239253,124,56,001,101,1966,05670,9   ,10  ,7   ,6   ,3   ,25,35  
6239253,124,56,001,101,1966,05850,0   ,0   ,2   ,2   ,0   ,4 ,4   
6239253,124,56,001,101,1966,06130,0   ,0   ,0   ,3   ,0   ,1 ,3   
6239253,124,56,001,101,1966,06140,0   ,5   ,1   ,3   ,2   ,9 ,11  
6239253,124,56,001,101,1966,06240,0   ,7   ,3   ,1   ,0   ,10,11  
6239253,124,56,001,101,1966,06260,0   ,0   ,0   ,1   ,2   ,3 ,3   
6239253,124,56,001,101,1966,06450,0   ,0   ,1   ,1   ,3   ,4 ,5   
6239253,124,56,001,101,1966,06480,0   ,0   ,2   ,3   ,0   ,5 ,5   
6239253,124,56,001,101,1966,06540,1   ,0   ,1   ,0   ,1   ,3 ,3   
6239253,124,56,001,101,1966,06550,0   ,0   ,1   ,1   ,2   ,4 ,4   
6239253,124,56,001,101,1966,06570,2   ,15  ,11  ,9   ,7   ,32,44  
6239253,124,56,001,101,1966,06600,0   ,2   ,6   ,6   ,4   ,15,18  
6239253,124,56,001,101,1966,06610,0   ,0   ,0   ,1   ,3   ,3 ,4   
6239253,124,56,001,101,1966,06620,0   ,0   ,0   ,1   ,1   ,2 ,2   
6239253,124,56,001,101,1966,06670,0   ,3   ,0   ,2   ,7   ,9 ,12  
6239253,124,56,001,101,1966,06740,1   ,4   ,0   ,0   ,1   ,6 ,6   
6239253,124,56,001,101,1966,06860,0   ,1   ,0   ,1   ,0   ,2 ,2   
6239253,124,56,001,101,1966,06870,0   ,5   ,1   ,1   ,3   ,10,10  
6239253,124,56,001,101,1966,07222,2   ,8   ,5   ,3   ,3   ,18,21  
6239253,124,56,001,101,1966,07280,0   ,1   ,0   ,0   ,0   ,1 ,1   
6239253,124,56,001,101,1966,07400,2   ,0   ,0   ,1   ,0   ,2 ,3   
6239253,124,56,001,101,1966,07490,1   ,2   ,2   ,4   ,5   ,14,14  
6239253,124,56,001,101,1966,07580,2   ,10  ,5   ,6   ,15  ,22,38  
6239253,124,56,001,101,1966,07610,18  ,17  ,3   ,7   ,4   ,25,49  
6237096,124,56,001,101,1967,03940,0   ,0   ,0   ,0   ,3   ,2 ,3   
6237096,124,56,001,101,1967,04120,1   ,0   ,0   ,0   ,0   ,1 ,1   
6237096,124,56,001,101,1967,04590,0   ,0   ,1   ,3   ,1   ,4 ,5   
